age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Mortgage
20,0,20,0,0,0,0,49,52805,4,39,48,3,0,0,0,16,34,0.0,0
47,21,47,0,0,0,0,57,54894,5,0,12,2,4,0,0,15,26,0.0,1
44,17,44,1,0,0,0,63,32157,4,41,48,1,1,2,2,6,29,9.351,0
29,0,29,1,0,0,0,39,43421,6,34,36,5,1,0,0,24,36,0.0,0
16,0,16,0,0,0,0,52,41885,3,23,36,3,1,0,0,16,30,0.0,0
64,35,64,0,0,0,0,67,55574,2,36,48,0,0,3,3,9,22,11.211,0
49,17,49,0,0,0,0,38,42589,4,37,48,5,1,3,1,17,44,7.494,0
56,27,56,0,0,0,0,60,50667,5,16,24,1,0,2,1,13,26,12.656,0
32,3,32,1,0,0,0,54,45382,6,29,36,2,3,2,1,11,34,10.657,1
35,4,35,0,0,0,0,46,52292,5,27,36,3,0,3,18,8,44,24.836,0
42,16,42,0,0,0,0,56,31919,5,20,24,2,1,0,0,18,24,0.0,0
32,4,32,1,0,0,0,44,35284,7,22,24,4,0,5,3,20,35,9.291,0
40,8,40,0,0,0,0,41,29743,2,34,36,5,1,3,2,13,45,8.502,0
30,1,30,0,0,0,0,65,37707,6,22,24,1,1,2,2,7,26,8.621,0
41,11,41,0,0,0,0,40,37860,7,12,24,5,4,4,3,13,46,10.226,1
32,0,32,1,0,0,0,51,45468,3,-3,0,3,0,1,0,9,39,0.0,0
41,8,41,1,0,0,0,40,41516,7,-2,0,4,1,1,0,10,48,0.0,0
47,18,47,1,0,0,0,49,29376,5,-1,0,3,0,0,0,12,37,0.0,0
22,0,22,0,0,0,0,63,42392,2,27,36,1,0,0,0,13,22,0.0,0
42,10,42,1,0,0,0,57,46582,3,22,24,2,3,3,2,10,31,8.559,0
48,15,48,1,0,0,0,50,31928,7,5,12,3,0,0,0,11,37,0.0,0
26,0,26,0,0,0,0,57,32093,2,10,12,2,0,0,0,7,35,0.0,0
50,17,50,1,0,0,0,54,26972,3,8,12,2,1,0,0,12,33,0.0,0
17,0,17,1,0,0,0,55,30486,6,22,24,2,0,0,0,11,32,0.0,0
51,25,51,1,0,0,0,51,40939,4,21,24,3,4,0,0,11,37,0.0,0
23,0,23,0,0,0,0,61,55256,7,-5,0,1,0,0,0,11,27,0.0,0
33,1,33,0,0,0,0,44,37268,5,40,48,4,4,6,2,8,47,8.684,0
30,4,30,0,0,0,0,58,30957,3,36,48,1,3,1,1,7,33,9.112,0
35,5,35,0,0,0,0,49,50901,7,25,36,3,2,2,1,13,37,9.326,0
30,1,30,0,0,0,0,53,30077,2,36,48,2,0,2,1,14,31,8.12,0
50,21,50,1,0,0,0,45,46784,1,37,48,4,5,0,0,21,33,0.0,0
52,21,52,0,0,0,0,45,40780,4,15,24,4,0,0,0,16,37,0.0,0
51,23,51,0,0,0,0,60,48575,5,28,36,1,2,4,2,11,27,10.209,1
34,4,34,0,0,0,0,35,32040,7,10,12,5,0,0,0,7,57,0.0,0
50,24,50,1,0,0,0,61,17790,6,27,36,1,0,1,1,6,31,9.199,0
44,15,44,0,0,0,0,52,54879,7,18,24,3,0,0,0,11,35,0.0,0
37,7,37,0,0,0,0,57,50783,2,30,36,2,0,4,1,11,30,7.989,0
35,5,35,1,0,0,0,67,42705,3,34,36,0,1,0,0,5,26,0.0,0
41,12,41,1,0,0,0,55,55188,6,-6,0,2,0,1,0,14,29,0.0,0
58,34,58,0,0,0,0,54,69205,5,36,48,2,2,0,29,6,39,35.734,1
37,11,37,1,0,0,0,59,47444,6,41,48,2,1,0,0,4,36,0.0,0
36,8,36,0,0,0,0,67,47856,7,6,12,0,0,0,0,8,23,0.0,0
24,0,24,0,0,0,0,60,16287,3,17,24,1,1,0,0,7,32,0.0,0
40,7,40,1,0,0,0,58,51072,3,0,12,2,1,0,0,6,35,0.0,0
47,15,47,0,0,0,0,61,48395,3,28,36,1,1,0,0,16,21,0.0,0
43,12,43,1,0,0,0,65,49013,4,23,36,0,1,0,0,7,26,0.0,0
43,13,43,0,0,0,0,72,41159,5,38,48,0,0,0,0,8,19,0.0,0
46,19,46,0,0,0,0,52,46563,6,8,12,3,1,0,0,11,35,0.0,0
43,11,43,1,0,0,0,55,40872,5,5,12,2,7,0,0,7,37,0.0,1
49,21,49,1,0,0,0,52,69248,2,5,12,3,0,5,2,9,37,11.915,0
46,16,46,1,0,0,0,54,31960,4,26,36,2,0,0,0,8,37,0.0,0
39,11,39,0,0,0,0,60,46246,6,23,36,1,1,0,0,11,28,0.0,0
35,5,35,1,0,0,0,46,41052,5,12,24,4,1,2,16,14,38,22.75,0
49,21,49,0,0,0,0,65,37285,5,-6,0,0,0,0,0,11,22,0.0,0
50,21,50,0,0,0,0,64,46988,1,30,36,0,1,0,0,6,29,0.0,0
52,25,52,1,0,0,0,53,31887,1,12,24,2,0,2,1,6,39,11.212,0
35,4,35,0,0,0,0,52,45135,5,21,24,3,1,4,3,10,37,10.122,0
47,20,47,1,0,0,0,61,52559,5,26,36,1,1,0,0,11,26,0.0,0
45,17,45,1,0,0,0,56,34099,6,32,36,2,1,0,0,13,30,0.0,0
32,4,32,0,0,0,0,43,18560,7,0,12,4,4,0,0,20,35,0.0,1
44,11,44,1,0,0,0,69,40286,6,6,12,0,1,3,1,10,19,8.35,0
34,3,34,0,0,0,0,58,53438,6,21,24,2,4,5,2,8,32,12.308,1
45,17,45,0,0,0,0,64,41104,2,14,24,1,0,2,1,8,27,7.907,0
32,4,32,1,0,0,0,49,35364,4,27,36,3,0,0,0,9,41,0.0,0
30,0,30,1,0,0,0,55,53971,2,-5,0,2,0,1,0,11,32,0.0,0
44,15,44,1,0,0,0,58,32232,7,40,48,1,1,3,1,15,26,8.786,0
31,0,31,0,0,0,0,59,48672,5,9,12,2,3,0,0,9,31,0.0,1
40,13,40,1,0,0,0,62,39848,2,22,24,1,0,1,1,8,29,10.056,0
26,0,26,0,0,0,0,51,41322,3,18,24,3,1,0,0,5,43,0.0,0
19,0,19,1,0,0,0,45,45525,2,18,24,4,1,0,0,18,35,0.0,0
56,26,56,1,0,0,0,62,50575,6,11,24,1,1,0,0,11,25,0.0,0
36,9,36,0,0,0,0,39,71486,3,5,12,5,3,3,1,4,56,8.526,0
40,12,40,1,0,0,0,36,45491,3,39,48,5,2,5,3,12,50,11.006,0
22,0,22,0,0,0,0,62,42445,3,12,24,1,0,6,24,10,26,30.991,0
42,10,42,0,0,0,0,61,48041,6,23,36,1,0,0,0,12,26,0.0,0
50,19,50,0,0,0,0,60,38095,3,21,24,1,0,1,1,7,32,13.549,0
20,0,20,0,0,0,0,56,51929,3,16,24,2,0,2,2,8,35,9.164,0
37,4,37,1,0,0,0,62,51334,6,-2,0,1,0,1,0,8,28,0.0,0
21,0,21,0,0,0,0,53,41064,6,31,36,2,0,4,4,10,35,11.682,0
30,0,30,0,1,0,0,76,31934,6,22,24,0,0,4,1,12,11,12.086,0
36,3,36,1,0,0,0,53,52588,4,40,48,3,1,0,0,14,32,0.0,0
36,11,36,0,0,0,0,50,30633,4,10,12,3,0,4,3,8,41,11.069,0
53,25,53,1,0,0,0,59,35361,3,-2,0,2,1,0,0,9,30,0.0,0
36,6,36,0,0,0,0,59,48511,7,40,48,1,0,5,19,15,24,25.982,0
45,16,45,1,0,0,0,56,42315,2,-3,0,2,2,0,0,9,33,0.0,0
41,6,41,0,0,0,0,68,33682,4,-5,0,0,1,0,0,14,17,0.0,0
42,9,42,1,0,0,0,58,37147,7,39,48,2,0,3,2,10,30,8.659,0
25,0,25,0,0,0,0,51,70687,3,40,48,3,2,2,16,19,29,24.101,0
38,9,38,1,0,0,0,51,43962,4,19,24,3,4,0,0,8,39,0.0,0
21,0,21,1,0,0,0,61,37752,2,20,24,1,4,0,0,4,34,0.0,1
21,0,21,0,0,0,0,58,38165,3,5,12,2,1,2,1,9,32,10.636,0
36,9,36,0,0,0,0,62,49158,2,16,24,1,2,0,0,8,28,0.0,0
59,31,59,0,0,0,0,56,40221,5,-5,0,2,1,0,0,9,34,0.0,0
47,17,47,1,0,0,0,64,33567,5,40,48,1,1,2,1,17,17,8.579,0
32,3,32,1,0,0,0,54,52326,7,6,12,2,0,0,0,15,30,0.0,0
36,11,36,1,0,0,0,52,38837,6,37,48,3,4,0,0,16,31,0.0,0
29,4,29,1,0,0,0,57,35948,5,5,12,2,3,0,0,5,36,0.0,0
28,0,28,0,0,0,0,38,43296,4,29,36,5,0,2,1,11,50,8.489,0
19,0,19,1,0,0,0,66,70310,4,25,36,0,0,2,1,10,23,9.026,0
36,3,36,0,0,0,0,45,28274,2,22,24,4,1,2,1,9,44,13.016,0
34,4,34,1,0,0,0,52,42512,3,21,24,2,0,0,0,7,39,0.0,0
35,10,35,0,0,0,0,57,48037,7,36,48,2,0,0,0,6,35,0.0,0
36,8,36,0,0,0,0,65,51139,2,9,12,0,1,0,0,3,31,0.0,0
32,2,32,1,0,0,0,42,35312,7,37,48,4,2,0,0,17,40,0.0,1
39,9,39,1,0,0,0,63,39772,5,21,24,1,1,4,2,12,24,8.324,0
46,20,46,0,0,0,0,55,34689,4,21,24,2,1,0,0,7,36,0.0,0
45,11,45,0,0,0,0,42,48649,3,-1,0,4,0,0,0,16,41,0.0,0
46,15,46,0,0,1,0,36,42627,5,41,48,5,1,0,0,13,49,0.0,0
32,2,32,1,0,0,0,43,47204,3,32,36,4,0,0,0,9,47,0.0,0
44,11,44,0,0,0,0,41,41025,6,10,12,4,2,2,1,13,45,9.599,1
54,26,54,0,0,0,0,53,42069,2,40,48,3,4,4,19,5,41,25.569,1
44,14,44,0,0,0,0,41,27022,6,17,24,4,4,0,0,16,41,0.0,1
31,3,31,0,0,0,0,55,30145,7,33,36,2,0,0,0,9,34,0.0,0
44,16,44,1,0,0,0,70,19906,3,21,24,0,0,2,2,10,19,9.145,0
36,9,36,0,0,0,0,48,40293,6,12,24,3,0,3,2,9,42,8.623,0
50,21,50,0,0,0,0,57,19064,6,7,12,2,0,0,0,9,32,0.0,0
47,20,47,1,0,0,0,52,32208,3,22,24,3,0,1,5,7,40,13.695,0
35,7,35,1,0,0,0,57,31330,4,7,12,2,2,1,1,12,30,9.012,0
34,2,34,0,0,0,0,57,55059,4,41,48,2,4,3,1,8,33,12.682,0
43,16,43,0,0,0,0,60,26984,4,12,24,1,1,0,0,16,22,0.0,0
35,2,35,0,0,0,0,54,52610,4,35,48,2,0,0,0,14,30,0.0,0
39,5,39,1,0,0,0,48,48245,6,25,36,3,1,2,1,13,37,8.922,0
39,8,39,0,0,0,0,55,38093,5,40,48,2,2,3,1,14,30,7.682,1
43,17,43,0,0,0,0,48,42165,2,33,36,3,1,0,0,10,40,0.0,0
47,19,47,0,0,0,0,64,46579,4,37,48,1,1,0,0,3,32,0.0,0
62,30,62,1,0,0,0,54,38063,1,25,36,2,0,4,2,9,36,10.231,0
35,2,35,1,0,0,0,64,28297,3,-4,0,1,1,0,0,11,24,0.0,0
75,47,75,0,0,0,0,43,49841,3,14,24,4,0,3,2,13,42,9.469,0
30,1,30,1,0,0,0,66,50095,6,22,24,0,1,3,1,12,20,7.783,0
67,41,67,1,0,0,1,58,50820,6,23,24,2,0,2,28,5,35,35.086,0
40,8,40,1,0,0,0,62,46650,4,22,24,1,0,2,1,14,23,11.786,0
40,8,40,0,0,0,0,64,46579,5,19,24,1,0,0,0,3,32,0.0,0
48,20,48,1,0,0,0,48,22802,1,18,24,3,0,4,2,11,39,9.461,0
49,19,49,0,0,0,0,61,31952,3,38,48,1,3,0,0,7,31,0.0,1
29,1,29,1,0,0,0,46,30976,3,14,24,4,0,4,3,10,42,14.533,0
37,6,37,1,0,0,0,71,60210,3,34,36,0,0,0,12,10,18,19.033,0
52,19,52,1,0,0,0,45,37519,5,37,48,4,0,4,2,12,41,8.527,0
36,4,36,0,0,0,0,49,49238,3,10,12,3,0,0,0,16,33,0.0,0
46,18,46,1,0,0,0,43,34847,5,41,48,4,4,3,1,14,42,7.753,0
47,14,47,1,0,0,0,44,51852,5,25,36,4,0,2,1,11,44,7.856,0
45,15,45,1,0,0,0,51,23018,4,9,12,3,0,0,0,8,39,0.0,0
33,3,33,1,0,0,0,54,25453,4,25,36,2,1,4,3,11,34,11.178,0
21,0,21,1,0,0,0,56,20707,3,10,12,2,0,2,1,13,29,9.689,0
39,9,39,1,0,0,0,56,24057,3,34,36,2,1,0,0,9,33,0.0,0
56,31,56,0,0,0,0,58,35887,5,31,36,1,1,0,0,8,32,0.0,0
42,9,42,1,0,0,0,61,40416,3,40,48,1,0,4,3,13,24,11.942,0
45,14,45,0,0,0,0,44,43696,2,27,36,4,3,4,1,19,36,10.536,0
21,0,21,1,0,0,0,44,51490,7,34,36,4,0,0,0,12,42,0.0,0
22,0,22,1,0,0,0,64,27260,2,29,36,1,0,0,0,11,23,0.0,0
38,10,38,0,0,0,0,52,55621,4,30,36,3,1,3,3,10,37,12.334,0
39,8,39,0,0,0,0,48,31566,6,21,24,4,2,5,4,9,42,10.997,1
23,0,23,0,0,0,0,67,46593,2,29,36,0,0,1,29,16,16,35.869,0
59,28,59,0,0,0,0,70,54871,2,-6,0,0,0,0,0,12,16,0.0,0
47,20,47,1,0,0,0,65,50961,1,5,12,0,0,4,2,12,21,9.153,0
26,0,26,1,0,0,0,67,48572,4,27,36,0,0,3,2,6,25,10.524,0
49,20,49,1,0,0,0,65,55419,4,32,36,1,3,3,2,11,23,10.269,1
51,21,51,0,0,0,0,56,25929,1,29,36,2,2,2,1,7,35,7.879,0
45,17,45,0,0,0,0,59,42000,7,40,48,1,1,4,2,9,30,10.034,1
36,3,36,1,0,0,0,63,41096,6,26,36,1,1,0,0,8,27,0.0,0
21,0,21,0,0,0,0,53,41064,6,31,36,2,0,4,4,10,35,11.682,0
35,6,35,0,0,0,0,54,55930,3,7,12,2,0,4,1,10,35,10.486,0
21,0,21,1,0,0,0,46,51459,4,31,36,4,0,2,1,10,42,7.712,0
47,22,47,0,0,0,0,40,50589,3,26,36,5,1,0,0,13,45,0.0,0
39,10,39,1,0,0,0,55,41060,6,-3,0,2,1,0,0,8,35,0.0,0
39,9,39,1,0,0,0,39,55117,5,28,36,5,2,3,2,16,44,9.408,0
32,2,32,1,0,0,0,61,39812,7,40,48,1,0,2,1,8,30,10.022,0
54,23,54,1,0,0,0,70,54448,6,9,12,0,3,0,0,10,19,0.0,1
29,1,29,0,0,0,0,36,41030,3,17,24,5,3,0,0,13,50,0.0,0
38,9,38,1,0,0,0,66,32870,7,11,24,0,1,0,0,17,15,0.0,0
44,15,44,0,0,0,0,47,21577,3,5,12,3,2,0,0,11,40,0.0,0
23,0,23,0,0,0,0,53,45376,3,-1,0,2,0,1,0,10,35,0.0,0
48,18,48,1,0,0,0,56,39288,4,26,36,2,0,2,1,10,32,7.327,0
38,8,38,1,0,0,0,65,42554,2,21,24,0,0,4,1,10,23,7.73,0
38,7,38,0,0,0,0,32,54907,3,41,48,6,1,2,1,12,54,9.437,0
38,9,38,1,0,0,0,45,52717,2,13,24,4,0,0,0,8,45,0.0,0
27,0,27,1,0,0,0,56,31132,3,18,24,2,1,3,1,15,28,7.47,0
63,35,63,1,0,0,0,58,55336,6,19,24,2,1,3,1,9,31,12.749,0
41,14,41,0,0,0,0,41,29088,2,33,36,4,2,0,0,20,37,0.0,0
44,14,44,1,0,0,0,66,55498,6,7,12,0,1,2,1,6,26,9.473,0
27,0,27,1,0,0,0,44,35256,3,38,48,4,1,0,0,14,41,0.0,0
45,14,45,1,0,0,0,50,44388,2,9,12,3,2,0,0,10,38,0.0,0
15,0,15,1,0,0,0,46,39270,7,-6,0,4,0,0,0,10,43,0.0,0
30,3,30,1,0,0,0,59,32295,4,38,48,2,3,4,2,10,29,8.685,1
29,2,29,1,0,0,0,65,54884,7,40,48,0,0,1,5,15,18,11.675,0
26,0,26,1,0,0,0,44,24978,2,30,36,4,1,3,1,10,44,10.222,0
74,48,74,0,0,0,0,59,47120,4,-6,0,1,0,0,0,10,29,0.0,0
96,65,96,0,0,0,0,41,50130,6,32,36,4,0,0,0,17,41,0.0,0
25,0,25,1,0,0,0,65,33615,7,18,24,0,0,0,0,10,23,0.0,0
19,0,19,1,0,0,0,68,25885,4,12,24,0,2,4,2,10,20,12.248,0
51,20,51,1,0,0,0,56,55582,3,24,36,2,2,1,1,5,38,11.966,0
48,19,48,1,0,0,0,66,25616,3,36,48,1,0,0,0,10,22,0.0,0
42,14,42,0,0,0,0,73,39399,2,38,48,0,1,0,0,5,20,0.0,0
32,0,32,0,0,0,0,56,53165,4,30,36,2,0,0,0,7,36,0.0,0
27,0,27,0,0,0,0,61,30320,3,25,36,1,2,4,3,13,25,9.341,1
29,0,29,0,0,0,0,64,52787,3,39,48,1,0,0,0,11,24,0.0,0
35,6,35,1,0,0,0,35,41270,7,7,12,5,0,0,0,10,53,0.0,0
36,8,36,0,0,0,0,49,37993,5,11,24,3,1,0,0,8,41,0.0,0
32,6,32,1,0,0,0,47,52402,7,41,48,4,0,1,3,10,42,10.165,0
