age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Pension
42,14,42,1,0,0,0,65,42091,7,38,48,0,1,0,0,11,22,0.0,1
29,0,29,0,0,0,0,52,17570,5,22,24,3,0,0,0,12,35,0.0,0
30,1,30,1,0,0,0,50,39035,3,18,24,3,1,2,1,14,34,11.096,0
53,27,53,0,0,0,0,42,21529,6,5,12,4,0,0,0,10,47,0.0,0
33,3,33,0,0,0,0,56,51039,2,35,36,2,3,4,4,10,33,10.416,0
42,16,42,1,0,0,0,65,50783,5,-4,0,1,1,0,0,12,21,0.0,0
31,0,31,1,0,0,1,67,55296,7,26,36,0,0,3,6,13,19,13.193,0
49,17,49,0,0,0,0,65,42119,3,10,12,1,1,2,1,8,26,9.629,0
41,15,41,1,0,0,0,55,35083,4,-2,0,2,0,0,0,13,30,0.0,0
73,44,73,0,0,0,0,49,37882,1,6,12,3,0,0,0,8,42,0.0,0
38,8,38,1,0,0,0,63,46628,6,-3,0,1,0,2,0,9,27,0.0,0
30,1,30,1,0,0,0,55,35380,5,7,12,2,2,1,26,10,33,32.967,0
23,0,23,1,0,0,0,44,30975,7,22,24,4,2,0,0,15,40,0.0,0
39,11,39,0,0,0,0,39,48542,3,-1,0,5,4,0,0,14,45,0.0,1
70,36,70,1,0,0,0,53,31933,6,30,36,3,0,0,0,11,35,0.0,1
28,0,28,1,0,0,0,47,56672,3,23,24,3,0,4,2,17,35,10.102,0
70,42,70,1,0,0,0,51,40732,2,31,36,3,1,0,0,5,42,0.0,0
56,29,56,0,0,0,0,52,48669,6,-6,0,2,1,0,0,8,38,0.0,0
34,6,34,1,0,0,0,48,48709,4,-1,0,3,0,0,0,9,41,0.0,0
60,35,60,0,0,0,0,51,55347,6,40,48,3,0,5,3,10,37,9.444,0
43,15,43,0,0,0,0,67,53241,6,-2,0,0,0,0,0,10,21,0.0,0
36,6,36,1,0,0,0,45,70662,7,23,36,4,0,4,24,13,40,31.19,1
48,16,48,0,0,0,0,63,54901,3,33,36,1,0,0,0,11,24,0.0,0
55,26,55,0,0,0,0,66,50610,5,33,36,0,0,0,0,9,24,0.0,0
39,10,39,1,0,0,0,49,50892,4,41,48,3,0,5,3,7,43,10.745,0
30,5,30,0,0,0,0,56,45662,4,40,48,2,0,5,3,11,31,11.127,0
64,32,64,1,0,0,0,43,67486,1,40,48,4,3,0,7,15,40,14.975,0
68,38,68,1,0,0,0,51,35085,3,26,36,3,0,2,1,13,34,9.192,1
35,5,35,1,0,0,0,62,55591,7,33,36,1,1,6,7,5,31,16.649,0
41,9,41,0,0,0,0,42,50977,3,12,24,4,0,3,1,14,42,9.949,0
26,0,26,1,0,0,0,71,55438,5,-1,0,0,1,0,0,10,17,0.0,0
18,0,18,0,0,0,0,58,45512,3,17,24,1,1,0,0,15,26,0.0,0
63,37,63,0,0,0,0,39,46462,5,32,36,5,0,2,1,12,48,11.317,0
48,16,48,1,0,0,0,55,55899,7,10,12,2,3,1,7,7,37,14.345,1
29,2,29,1,0,0,0,54,32529,7,33,36,2,5,0,0,11,33,0.0,0
35,7,35,0,0,0,0,46,54926,5,34,36,4,3,1,1,18,35,8.955,0
39,10,39,1,0,0,0,65,38236,5,20,24,0,1,0,0,10,23,0.0,0
41,16,41,0,0,0,0,37,26095,2,40,48,5,0,2,1,18,44,10.589,1
27,0,27,1,0,0,0,43,51544,3,-5,0,4,5,0,0,7,48,0.0,0
50,23,50,1,0,0,0,56,31935,6,13,24,2,0,2,2,14,29,8.693,0
30,1,30,0,0,0,0,65,37707,6,22,24,1,1,2,2,7,26,8.621,0
38,6,38,0,0,0,0,62,35054,3,36,48,1,1,0,0,16,21,0.0,1
40,10,40,0,0,0,0,55,41851,5,39,48,2,1,0,0,11,33,0.0,0
41,7,41,1,0,0,0,51,28327,5,40,48,3,0,5,3,10,37,12.071,0
25,0,25,0,0,0,0,67,42648,2,41,48,0,0,3,1,11,21,8.626,0
34,6,34,0,0,0,0,58,48581,4,31,36,2,2,0,0,10,30,0.0,0
52,19,52,1,0,0,0,45,37519,5,37,48,4,0,4,2,12,41,8.527,0
40,11,40,1,0,0,0,57,46628,2,27,36,2,2,3,2,7,34,9.699,0
46,17,46,0,0,0,0,53,46468,6,37,48,2,4,3,3,16,29,9.409,0
37,9,37,1,0,0,0,57,27011,3,12,24,2,1,0,2,12,30,8.682,0
39,11,39,0,0,0,0,73,32031,5,22,24,0,2,2,1,8,18,10.816,0
34,7,34,0,0,0,0,42,33337,3,41,48,4,3,0,0,21,35,0.0,0
32,0,32,1,1,0,0,77,45367,5,6,12,1,1,5,2,13,9,10.732,0
45,17,45,1,0,0,0,55,43655,6,21,24,2,1,3,1,8,36,9.859,0
26,1,26,0,0,0,0,59,29998,5,14,24,1,1,0,0,13,26,0.0,0
34,5,34,0,0,0,0,49,32040,7,-6,0,3,0,0,0,11,39,0.0,1
33,1,33,1,0,0,0,27,42059,3,31,36,7,0,3,1,15,57,8.507,0
45,11,45,0,0,0,0,56,29067,5,38,48,2,0,0,0,6,37,0.0,0
49,17,49,1,0,0,0,42,29942,7,9,12,4,1,0,0,14,42,0.0,1
34,9,34,0,0,0,0,55,37957,7,41,48,2,0,4,1,6,37,12.316,0
24,0,24,0,0,0,0,50,50751,6,22,24,3,1,2,2,11,37,9.802,0
33,1,33,1,0,0,0,49,45516,3,22,24,3,0,4,27,15,34,33.691,0
36,6,36,1,0,0,0,49,41576,7,-5,0,3,0,0,0,13,36,0.0,0
35,4,35,0,0,0,0,46,52292,5,27,36,3,0,3,18,8,44,24.836,0
38,8,38,0,0,0,1,52,39924,3,22,24,3,0,0,1,9,38,7.716,0
29,0,29,0,0,0,0,58,47962,7,-5,0,1,0,0,0,25,16,0.0,0
30,3,30,0,0,0,0,64,52586,5,9,12,0,1,1,1,7,27,7.626,0
38,8,38,0,0,1,0,60,54962,4,25,36,1,5,0,0,5,33,0.0,0
19,0,19,0,0,0,0,59,32926,7,-1,0,1,2,1,0,7,32,0.0,0
53,22,53,1,0,0,0,37,69625,6,18,24,5,0,5,4,15,46,13.654,0
44,18,44,1,0,0,0,63,51919,6,14,24,1,0,2,1,11,25,7.872,0
30,5,30,1,0,0,0,51,34675,4,19,24,3,1,0,0,11,37,0.0,0
34,1,34,0,0,0,0,52,41850,5,33,36,3,0,0,0,16,30,0.0,0
33,0,33,1,0,0,0,48,50947,6,-4,0,3,0,0,0,8,43,0.0,0
36,8,36,1,0,0,0,59,42738,6,34,36,2,0,0,0,6,34,0.0,0
36,8,36,1,0,0,0,51,44669,3,17,24,3,0,4,2,9,39,9.056,0
18,0,18,1,0,0,0,27,50975,7,29,36,7,2,4,2,9,62,9.111,0
45,12,45,1,0,0,0,46,46798,7,13,24,3,1,0,0,12,41,0.0,0
36,3,36,0,0,0,0,77,31877,4,25,36,0,2,3,1,9,12,11.842,0
56,30,56,0,0,0,0,57,38019,6,23,24,2,2,0,0,12,30,0.0,1
36,3,36,0,0,0,0,45,28274,2,22,24,4,1,2,1,9,44,13.016,0
41,11,41,0,0,0,0,42,42382,4,41,48,4,0,0,0,11,45,0.0,0
18,0,18,1,0,0,0,44,37268,5,5,12,4,0,4,1,8,47,10.046,0
47,15,47,1,0,0,0,62,40216,6,31,36,1,3,0,0,12,25,0.0,1
40,12,40,1,0,0,0,53,45467,3,12,24,2,4,3,2,9,36,9.842,0
45,18,45,0,0,0,0,65,28292,7,40,48,0,0,3,1,13,21,10.499,1
56,27,56,1,0,1,0,50,38669,5,28,36,3,1,1,1,9,39,13.102,1
47,15,47,0,0,0,0,61,17790,7,13,24,1,0,0,0,6,31,0.0,0
27,0,27,0,0,0,0,56,51498,4,5,12,2,3,0,12,11,32,18.723,0
50,19,50,0,0,0,0,57,42550,5,26,36,2,0,0,0,11,30,0.0,0
39,9,39,1,0,0,0,54,30306,3,30,36,2,0,4,1,5,40,7.594,0
36,8,36,0,0,0,0,58,35341,7,29,36,2,1,0,0,8,33,0.0,0
32,2,32,0,0,0,0,62,52541,6,37,48,1,0,0,0,9,28,0.0,0
46,14,46,0,0,0,0,67,39904,7,33,36,0,1,4,2,14,17,12.494,0
51,18,51,1,0,0,0,59,32211,3,29,36,2,2,4,3,6,34,10.098,0
33,4,33,1,0,0,0,48,55271,2,28,36,3,2,4,1,6,45,7.922,0
37,6,37,1,0,0,0,46,40973,5,20,24,4,0,0,0,8,45,0.0,0
35,13,35,1,0,0,0,34,26119,4,7,12,6,5,5,2,16,48,9.628,0
23,0,23,1,0,0,0,60,25812,6,41,48,1,4,4,3,9,29,11.975,0
19,0,19,1,0,0,0,41,40979,7,24,36,5,0,0,0,14,44,0.0,0
17,0,17,0,0,0,0,63,42060,6,27,36,1,2,0,0,8,28,0.0,0
38,7,38,1,0,0,0,61,25166,4,15,24,1,2,0,0,8,29,0.0,0
48,18,48,1,0,0,0,54,39869,7,16,24,2,0,0,0,12,33,0.0,0
38,11,38,0,0,0,0,65,54884,7,11,24,0,0,3,3,15,18,9.977,0
41,11,41,0,0,0,0,46,31950,6,28,36,4,1,1,1,9,43,7.857,1
30,1,30,1,0,0,0,64,38876,7,32,36,1,0,0,0,7,28,0.0,0
36,5,36,1,0,0,0,47,46623,6,12,24,3,1,5,3,14,37,11.763,0
39,10,39,1,0,0,0,41,39771,3,-3,0,4,2,1,0,12,46,0.0,1
46,14,46,1,0,0,0,56,31893,6,29,36,2,0,3,2,11,32,8.803,1
31,2,31,1,0,0,0,51,40974,6,15,24,3,0,0,0,8,39,0.0,0
43,15,43,1,0,0,1,49,46606,4,7,12,3,0,3,1,16,34,12.182,0
39,9,39,1,0,0,0,59,40933,2,22,24,2,0,4,1,10,30,8.589,0
23,0,23,0,0,0,0,52,45739,7,40,48,3,0,4,11,12,34,18.117,0
41,11,41,0,0,0,0,76,49753,3,19,24,0,1,0,0,11,12,0.0,0
42,10,42,1,0,0,0,72,48016,7,38,48,0,2,4,2,8,19,10.744,0
41,15,41,0,0,0,0,47,48608,7,22,24,3,1,0,0,12,39,0.0,0
39,14,39,0,0,0,0,52,38897,2,29,36,3,3,4,1,16,31,7.527,1
27,0,27,1,0,0,0,49,45397,2,24,36,3,3,0,0,10,40,0.0,0
50,19,50,1,0,0,0,65,50795,2,29,36,0,0,0,0,8,25,0.0,0
32,5,32,1,0,0,0,50,41102,4,0,12,3,4,2,0,13,36,0.0,0
37,11,37,0,0,0,0,56,48593,7,12,24,2,0,4,1,12,31,7.396,0
36,6,36,0,0,0,0,54,30507,4,27,36,2,1,0,0,11,33,0.0,0
30,1,30,0,0,0,0,49,41108,6,10,12,3,3,0,0,15,35,0.0,0
36,13,36,1,0,0,0,55,37134,5,39,48,2,1,0,0,10,33,0.0,0
38,9,38,1,0,0,0,76,54573,2,-2,0,1,0,0,0,6,17,0.0,0
39,7,39,1,0,0,0,69,37745,3,37,48,0,0,3,2,11,18,8.77,0
39,8,39,1,0,0,0,59,21542,6,39,48,1,1,0,0,17,22,0.0,1
39,13,39,1,0,0,0,49,52487,6,40,48,3,1,0,0,13,37,0.0,1
42,12,42,1,0,0,0,65,54413,6,30,36,0,2,0,0,12,22,0.0,1
45,16,45,0,0,0,0,60,53577,2,11,24,1,0,0,0,14,25,0.0,0
50,23,50,1,0,0,0,60,40288,2,7,12,2,0,2,10,8,30,16.998,1
42,17,42,1,0,0,0,43,45658,3,-2,0,4,1,4,0,16,40,0.0,0
39,12,39,0,0,0,0,52,35294,5,38,48,3,0,4,1,11,35,12.689,0
32,4,32,0,0,0,0,66,60465,3,20,24,0,0,4,8,15,17,16.391,0
21,0,21,1,0,0,0,63,58585,2,30,36,1,1,3,7,6,30,13.918,0
39,9,39,1,0,0,0,31,47207,7,32,36,6,0,5,3,15,52,9.558,0
36,4,36,0,0,0,0,56,42249,5,10,12,2,1,0,0,13,29,0.0,0
31,6,31,0,0,0,0,56,55915,3,40,48,2,0,3,2,10,33,9.647,1
50,25,50,0,0,0,0,51,52449,3,35,36,3,1,1,15,14,34,21.784,0
33,4,33,1,0,0,0,57,42623,7,21,24,2,0,1,1,10,31,7.669,0
32,1,32,0,0,0,0,49,33922,7,-3,0,3,1,0,0,10,40,0.0,0
37,6,37,0,0,0,0,31,54882,6,17,24,6,0,5,2,11,57,9.032,0
36,9,36,1,0,0,0,59,55535,5,10,12,2,0,0,0,12,28,0.0,0
39,7,39,0,0,1,0,53,26459,4,29,36,2,2,3,2,5,41,12.742,0
48,16,48,0,0,0,0,43,38168,5,-2,0,4,2,0,0,16,39,0.0,1
47,14,47,0,0,0,0,41,34457,4,9,12,4,1,0,0,14,44,0.0,0
42,13,42,0,0,0,0,58,54974,2,40,48,2,0,2,28,7,34,35.512,0
45,12,45,0,0,0,0,63,42463,6,22,24,1,1,1,1,6,30,12.799,1
46,18,46,1,0,0,0,48,38060,3,10,12,3,1,0,0,6,44,0.0,0
27,0,27,0,0,0,0,58,42713,6,-1,0,2,0,0,0,8,32,0.0,0
25,0,25,1,0,0,0,51,38352,6,41,48,3,0,4,1,17,31,11.352,0
38,12,38,0,0,0,0,63,48612,7,18,24,1,0,0,0,15,20,0.0,1
81,53,81,1,0,0,0,52,37119,6,39,48,3,1,0,0,8,39,0.0,0
53,24,53,1,0,0,0,56,38015,5,40,48,2,1,4,2,14,28,8.967,1
41,13,41,0,0,0,0,60,28996,6,22,24,1,0,1,1,4,34,12.099,0
52,22,52,0,0,0,0,63,44499,5,30,36,1,3,0,0,9,26,0.0,1
43,14,43,0,0,0,0,62,19816,7,9,12,1,0,5,3,5,31,10.862,0
36,8,36,1,0,0,0,42,54019,3,12,24,4,0,0,0,21,36,0.0,0
27,0,27,1,0,1,0,60,27000,7,29,36,1,2,3,1,10,28,11.412,0
38,12,38,1,0,0,0,62,51336,7,40,48,1,3,2,2,12,25,9.563,0
38,3,38,0,0,0,0,47,44378,4,35,36,3,1,0,0,15,36,0.0,1
42,10,42,1,0,0,0,52,46633,5,14,24,3,0,2,1,13,33,8.029,0
36,4,36,1,0,0,0,61,54418,6,22,24,1,1,3,2,13,24,8.663,0
53,21,53,0,0,0,0,69,41348,4,9,12,0,0,0,0,10,20,0.0,1
39,8,39,1,0,0,0,50,32192,2,33,36,3,0,0,0,11,38,0.0,0
34,6,34,1,0,0,0,50,30488,6,21,24,3,0,2,2,14,34,10.089,0
61,32,61,1,0,0,0,53,44372,6,32,36,2,2,0,0,7,39,0.0,0
25,0,25,0,0,0,0,59,54932,4,13,24,2,1,4,2,10,29,9.786,0
20,0,20,0,0,0,0,49,52805,4,39,48,3,0,0,0,16,34,0.0,0
44,16,44,0,0,0,0,48,52660,2,7,12,3,0,0,0,13,37,0.0,0
35,4,35,0,0,0,0,52,52446,3,-3,0,3,1,1,0,15,31,0.0,1
47,17,47,0,0,0,0,56,54944,4,29,36,2,1,3,1,11,32,9.849,1
42,15,42,1,0,0,0,69,52621,2,12,24,0,4,3,2,9,20,9.981,1
31,0,31,0,0,0,0,52,54782,2,22,24,3,0,0,0,11,35,0.0,0
57,30,57,1,0,0,0,64,28306,6,23,24,1,0,2,1,5,29,9.326,0
60,34,60,0,0,1,0,61,36888,6,35,48,1,1,4,25,7,30,31.68,0
39,8,39,0,0,0,0,61,26170,5,-2,0,1,1,0,0,7,31,0.0,0
47,16,47,1,0,0,0,37,41131,3,23,24,5,1,3,1,17,44,9.392,0
32,0,32,0,0,0,0,62,31983,5,31,36,1,1,4,1,12,24,7.753,0
36,13,36,0,0,0,0,52,29903,2,25,36,3,3,4,1,11,36,9.678,0
47,19,47,0,0,0,0,47,51484,6,-6,0,3,1,0,0,9,42,0.0,0
39,15,39,1,0,0,0,55,33905,5,33,36,2,0,2,1,12,31,8.062,0
49,19,49,0,0,0,0,64,34061,6,-2,0,1,0,0,0,10,24,0.0,0
68,41,68,1,0,0,0,54,40199,4,39,48,2,0,4,1,8,37,12.691,1
32,1,32,1,0,0,0,63,38822,5,28,36,1,0,2,1,6,29,9.499,0
46,17,46,0,0,0,0,45,50881,6,40,48,4,0,4,1,17,37,12.657,0
41,8,41,0,0,0,0,59,39784,3,41,48,1,1,0,0,13,26,0.0,0
56,30,56,1,0,0,0,77,53976,6,25,36,1,1,3,2,11,11,10.113,0
40,8,40,0,0,0,0,41,29743,2,34,36,5,1,3,2,13,45,8.502,0
48,17,48,0,0,0,0,66,44389,3,40,48,0,1,1,1,8,24,12.517,0
43,16,43,1,0,0,0,60,53960,3,40,48,1,4,2,1,11,27,9.549,0
17,0,17,1,0,0,0,56,34044,2,28,36,2,3,0,0,16,26,0.0,0
56,27,56,0,0,0,0,61,54373,6,41,48,1,0,0,0,14,24,0.0,1
41,7,41,0,0,0,0,44,60196,4,27,36,4,0,3,1,14,41,11.366,0
37,5,37,0,0,0,0,44,36282,7,27,36,4,0,3,2,21,34,9.465,0
42,12,42,1,0,0,0,52,51463,3,37,48,3,0,1,14,17,29,20.648,0
54,29,54,0,0,0,0,63,46573,1,17,24,1,0,0,0,12,23,0.0,0
42,13,42,1,0,0,0,58,51293,4,39,48,2,0,4,2,7,34,12.477,0
38,7,38,0,0,0,0,70,50135,4,5,12,0,0,4,3,6,23,12.63,1
42,16,42,0,0,0,0,39,28742,4,21,24,5,0,2,2,15,45,12.048,0
42,12,42,1,0,0,0,51,41095,2,-3,0,3,5,0,0,8,40,0.0,1
27,0,27,0,0,0,0,49,39820,6,29,36,3,1,0,0,14,36,0.0,0
58,28,58,1,0,0,0,55,39350,3,20,24,2,0,0,0,12,32,0.0,0
57,27,57,1,0,0,0,49,31629,4,20,24,3,2,3,1,4,45,9.879,0
30,5,30,0,0,0,0,51,46553,3,30,36,3,1,3,1,11,37,9.696,0
29,0,29,0,0,0,0,56,55092,6,28,36,2,0,2,1,9,34,7.846,0
45,18,45,0,0,0,0,56,68872,3,6,12,2,0,2,1,10,33,10.036,0
60,33,60,1,0,0,0,56,39848,2,-5,0,2,2,1,0,5,37,0.0,0
46,15,46,0,0,0,0,53,51915,5,-6,0,3,1,0,0,10,35,0.0,1
26,0,26,1,0,0,0,71,74966,7,35,48,0,0,1,1,13,14,9.259,0
29,0,29,1,0,0,0,39,42202,5,16,24,5,1,4,3,21,39,9.773,0
38,10,38,1,0,0,0,47,46115,7,12,24,3,1,0,0,16,36,0.0,0
53,24,53,1,0,0,0,53,70934,1,22,24,3,2,0,1,12,33,7.866,1
19,0,19,1,0,0,0,40,43651,2,12,24,5,0,0,0,9,49,0.0,0
37,4,37,1,0,0,0,55,28294,6,-5,0,2,3,0,0,11,32,0.0,0
30,2,30,0,0,0,0,70,54891,4,30,36,0,0,0,0,7,22,0.0,0
48,21,48,1,0,0,0,52,54995,6,28,36,3,1,1,1,8,38,8.889,0
52,21,52,0,0,0,0,51,44748,1,16,24,3,4,0,0,12,36,0.0,1
57,23,57,0,0,0,0,59,42589,6,20,24,1,0,1,1,5,34,8.653,0
35,2,35,0,0,0,0,56,46617,7,22,24,2,1,4,1,10,33,11.939,0
40,9,40,0,0,0,0,56,35368,6,16,24,2,2,0,0,10,33,0.0,0
44,14,44,1,0,0,0,65,41284,6,19,24,0,1,0,0,7,27,0.0,1
34,4,34,0,0,0,0,49,39047,7,-2,0,3,0,0,0,6,44,0.0,0
50,18,50,0,0,0,0,60,64138,2,28,36,2,4,2,1,4,34,9.226,1
28,0,28,1,0,0,0,48,31045,4,-5,0,3,0,0,0,14,36,0.0,0
44,18,44,1,0,0,0,48,35873,3,12,24,3,1,4,3,12,39,10.223,0
31,3,31,0,0,0,0,50,54941,3,25,36,3,2,0,0,13,36,0.0,0
56,27,56,0,0,0,0,59,41306,5,-5,0,1,0,3,0,9,30,0.0,0
16,0,16,0,0,0,0,56,29733,2,40,48,2,0,6,3,14,28,12.822,0
31,1,31,0,0,0,0,58,41814,3,-2,0,1,0,1,0,13,27,0.0,0
38,10,38,1,0,0,0,53,40958,4,36,48,2,0,0,0,7,38,0.0,0
24,0,24,0,0,1,0,49,32181,2,6,12,3,0,0,0,12,37,0.0,0
53,24,53,0,0,0,0,66,42714,4,33,36,0,0,4,1,13,19,8.822,0
54,22,54,0,0,0,0,53,55309,1,17,24,2,2,0,0,20,26,0.0,1
17,0,17,0,0,0,0,58,44547,3,-6,0,2,0,2,0,15,25,0.0,0
31,0,31,0,0,0,0,56,31934,7,17,24,2,0,0,0,9,34,0.0,0
45,14,45,0,0,0,0,70,53386,4,24,36,0,1,0,0,12,16,0.0,0
52,26,52,1,0,0,0,51,50901,2,14,24,3,1,0,0,11,37,0.0,1
35,5,35,1,0,0,0,53,41060,4,40,48,2,2,2,1,15,30,9.656,0
42,10,42,1,0,0,0,56,45703,2,6,12,2,2,0,0,11,32,0.0,1
54,23,54,1,0,0,0,52,48043,6,39,48,3,0,5,3,9,37,11.467,0
27,0,27,0,0,0,0,43,26106,3,37,48,4,0,0,0,10,46,0.0,0
34,1,34,0,0,0,0,49,53183,7,29,36,3,0,0,0,12,37,0.0,0
49,17,49,1,0,0,0,59,41558,3,8,12,1,1,0,0,10,30,0.0,0
47,16,47,0,0,0,0,54,51478,4,18,24,2,0,3,1,9,35,8.092,1
26,0,26,1,0,0,0,74,40954,7,10,12,0,0,2,1,8,16,7.197,0
59,31,59,0,0,0,0,58,19856,2,34,36,2,2,4,2,11,29,8.711,1
37,7,37,0,0,0,0,60,54937,6,-6,0,1,0,0,0,11,27,0.0,0
44,14,44,0,0,0,0,58,47986,5,6,12,2,0,0,0,11,30,0.0,0
35,6,35,0,0,0,0,64,49859,4,13,24,0,1,4,1,12,22,7.996,0
44,11,44,0,0,0,0,57,40604,6,30,36,2,1,0,0,13,28,0.0,0
66,37,66,0,0,0,0,52,47994,1,34,36,3,0,0,0,13,34,0.0,1
45,16,45,0,0,0,0,42,55336,5,29,36,4,2,1,1,5,52,7.926,0
56,26,56,0,0,0,0,59,34810,1,41,48,2,1,0,0,5,35,0.0,1
52,20,52,1,0,0,0,55,44670,4,34,36,2,0,0,0,16,27,0.0,1
50,20,50,0,0,0,0,54,17761,5,32,36,2,1,3,1,22,23,8.936,0
32,0,32,1,0,0,0,46,42699,2,23,24,4,0,1,12,7,46,19.149,0
58,25,58,1,0,0,0,53,46560,2,7,12,3,2,3,1,8,38,11.041,1
26,0,26,0,0,0,0,56,42621,4,12,24,2,1,0,0,9,34,0.0,0
53,22,53,1,0,0,0,68,24803,4,-1,0,0,1,0,0,10,21,0.0,0
29,2,29,1,0,0,0,55,28294,6,0,12,2,0,1,0,11,32,0.0,0
41,11,41,0,0,0,0,40,37860,7,12,24,5,4,4,3,13,46,10.226,0
36,0,36,1,0,0,0,21,36681,4,-6,0,8,0,0,0,13,65,0.0,1
28,2,28,1,0,0,0,50,19864,3,34,36,3,0,4,3,12,37,11.645,0
50,21,50,1,0,0,0,58,23253,6,-2,0,2,0,0,0,13,27,0.0,1
26,0,26,0,0,1,0,45,37512,3,22,24,4,1,3,2,11,43,9.558,0
54,23,54,1,0,0,0,70,54448,6,9,12,0,3,0,0,10,19,0.0,0
40,8,40,0,0,0,0,58,41946,2,16,24,2,1,0,0,16,25,0.0,1
34,3,34,0,0,0,0,69,34485,5,17,24,0,0,1,1,8,21,9.856,0
37,8,37,1,0,0,0,57,42036,7,22,24,2,1,4,3,8,33,10.92,0
32,1,32,0,0,0,0,44,35391,6,38,48,4,1,0,0,10,44,0.0,0
25,0,25,0,0,1,0,55,26972,3,24,36,2,0,0,0,11,32,0.0,0
31,1,31,1,0,0,0,48,39821,6,22,24,3,0,1,17,12,39,23.771,0
37,6,37,1,0,0,0,66,41344,3,40,48,0,0,3,2,14,19,10.525,0
42,15,42,0,0,0,0,72,40679,6,20,24,0,2,1,21,5,22,27.694,0
50,24,50,0,0,0,0,73,42727,2,37,48,0,4,0,0,10,15,0.0,0
34,3,34,1,0,0,0,66,52642,6,25,36,0,0,2,1,7,25,7.962,0
52,21,52,0,0,0,0,62,38244,1,11,24,1,1,0,0,5,31,0.0,1
51,19,51,1,0,0,0,45,38521,3,-2,0,4,0,0,0,10,43,0.0,0
42,15,42,0,0,0,0,48,50675,3,40,48,3,2,6,20,12,38,27.178,1
45,16,45,1,0,0,0,42,52574,6,30,36,4,2,2,2,14,43,10.137,0
39,9,39,0,0,0,0,54,43168,7,33,36,2,0,0,0,8,36,0.0,0
24,0,24,1,0,0,0,59,50054,6,-1,0,2,0,0,0,12,27,0.0,0
41,16,41,1,0,0,0,35,24753,3,17,24,5,1,5,5,11,52,14.326,0
70,45,70,0,0,0,0,44,23878,5,33,36,4,0,0,0,10,44,0.0,1
46,18,46,1,0,0,0,69,32518,5,-1,0,0,4,0,0,7,22,0.0,0
67,38,67,0,0,0,0,39,42664,4,31,36,5,0,3,2,16,43,8.973,1
33,3,33,1,0,0,0,49,33591,2,5,12,3,1,4,2,13,36,9.212,0
48,17,48,1,0,0,0,42,36806,6,40,48,4,0,1,1,12,44,11.694,0
48,18,48,1,0,0,0,65,70689,6,34,36,1,0,3,12,11,23,19.167,1
28,3,28,1,0,0,0,40,51343,3,15,24,5,0,3,2,15,43,10.061,0
